Temp:	U:
-4.66271136E-03	0.770E-6
-4.65253728E-03	0.743E-6
-4.65057376E-03	0.720E-6
-4.64265280E-03	0.718E-6
-4.62474784E-03	0.740E-6
-4.62017344E-03	0.765E-6
-4.61076064E-03	0.743E-6
-4.61786560E-03	0.728E-6
-4.60421376E-03	0.780E-6
-4.60302784E-03	0.778E-6
-4.58420672E-03	0.753E-6
-4.58544320E-03	0.770E-6
-4.58523712E-03	0.750E-6
-4.56753088E-03	0.733E-6
-4.55894272E-03	0.740E-6
-4.55643424E-03	0.763E-6
-4.55902528E-03	0.715E-6
-4.54721088E-03	0.745E-6
-4.54043168E-03	0.763E-6
-4.53765088E-03	0.755E-6
-4.51901184E-03	0.720E-6
-4.52413280E-03	0.755E-6
-4.50313920E-03	0.775E-6
-4.51035360E-03	0.730E-6
-4.49811520E-03	0.753E-6
-4.49361472E-03	0.758E-6
-4.47787936E-03	0.765E-6
-4.47138432E-03	0.788E-6
-4.46111040E-03	0.730E-6
-4.46065440E-03	0.780E-6
-4.46226784E-03	0.765E-6
-4.44796384E-03	0.738E-6
-4.43382368E-03	0.778E-6
-4.43319296E-03	0.765E-6
-4.43374400E-03	0.750E-6
-4.42703776E-03	0.768E-6
-4.40655936E-03	0.768E-6
-4.40102912E-03	0.770E-6
-4.40669184E-03	0.793E-6
-4.39994464E-03	0.753E-6
-4.38551680E-03	0.738E-6
-4.37370496E-03	0.788E-6
-4.37613248E-03	0.778E-6
-4.37464192E-03	0.793E-6
-4.36371936E-03	0.763E-6
-4.34705280E-03	0.750E-6
-4.34168000E-03	0.800E-6
-4.34573760E-03	0.788E-6
-4.33831168E-03	0.763E-6
-4.31924192E-03	0.770E-6
-4.31278208E-03	0.753E-6
-4.31522304E-03	0.795E-6
-4.31360224E-03	0.805E-6
-4.29856960E-03	0.743E-6
-4.28651168E-03	0.775E-6
-4.28316672E-03	0.815E-6
-4.28670656E-03	0.778E-6
-4.27342688E-03	0.728E-6
-4.25995456E-03	0.770E-6
-4.25317216E-03	0.813E-6
-4.25549920E-03	0.790E-6
-4.24938272E-03	0.755E-6
-4.23336512E-03	0.778E-6
-4.22331488E-03	0.795E-6
-4.22238272E-03	0.788E-6
-4.22300896E-03	0.768E-6
-4.20839424E-03	0.758E-6
-4.19505696E-03	0.808E-6
-4.19287136E-03	0.795E-6
-4.19522528E-03	0.780E-6
-4.18667712E-03	0.765E-6
-4.16722912E-03	0.793E-6
-4.16208064E-03	0.803E-6
-4.15372544E-03	0.765E-6
-4.15072608E-03	0.778E-6
-4.15344064E-03	0.815E-6
-4.14231744E-03	0.790E-6
-4.12736864E-03	0.763E-6
-4.11787872E-03	0.770E-6
-4.12176928E-03	0.825E-6
-4.11753504E-03	0.800E-6
-4.10186880E-03	0.750E-6
-4.09370176E-03	0.783E-6
-4.09475904E-03	0.800E-6
-4.08860928E-03	0.790E-6
-4.07684288E-03	0.775E-6
-4.06196544E-03	0.790E-6
-4.05507232E-03	0.788E-6
-4.05952064E-03	0.815E-6
-4.05324736E-03	0.805E-6
-4.03582784E-03	0.755E-6
-4.02711232E-03	0.808E-6
-4.02559744E-03	0.828E-6
-4.02521344E-03	0.818E-6
-4.00892928E-03	0.743E-6
-4.00618112E-03	0.768E-6
-4.00196288E-03	0.805E-6
-3.98375264E-03	0.780E-6
-3.98302528E-03	0.828E-6
-3.97199232E-03	0.813E-6
-3.96849504E-03	0.818E-6
-3.96586592E-03	0.813E-6
-3.94487616E-03	0.763E-6
-3.93748416E-03	0.808E-6
-3.93402944E-03	0.838E-6
-3.93718144E-03	0.815E-6
-3.92784288E-03	0.795E-6
-3.91744160E-03	0.843E-6
-3.91444160E-03	0.815E-6
-3.90594112E-03	0.830E-6
-3.89787936E-03	0.795E-6
-3.88165056E-03	0.788E-6
-3.87150304E-03	0.818E-6
-3.86959168E-03	0.838E-6
-3.86315584E-03	0.793E-6
-3.85849824E-03	0.803E-6
-3.84155040E-03	0.808E-6
-3.84595712E-03	0.815E-6
-3.83952928E-03	0.820E-6
-3.82998752E-03	0.800E-6
-3.81392224E-03	0.770E-6
-3.80605792E-03	0.818E-6
-3.80600992E-03	0.850E-6
-3.80302976E-03	0.808E-6
-3.78703456E-03	0.770E-6
-3.77473600E-03	0.833E-6
-3.77265856E-03	0.825E-6
-3.77357696E-03	0.795E-6
-3.76276576E-03	0.815E-6
-3.74528800E-03	0.833E-6
-3.73744288E-03	0.805E-6
-3.74220224E-03	0.858E-6
-3.72430080E-03	0.788E-6
-3.71525248E-03	0.753E-6
-3.71447360E-03	0.825E-6
-3.71346912E-03	0.820E-6
-3.70440864E-03	0.800E-6
-3.69963200E-03	0.825E-6
-3.67967040E-03	0.793E-6
-3.66940096E-03	0.840E-6
-3.66708160E-03	0.838E-6
-3.66789184E-03	0.805E-6
-3.65041344E-03	0.795E-6
-3.64109696E-03	0.838E-6
-3.64164928E-03	0.843E-6
-3.63788320E-03	0.818E-6
-3.62451040E-03	0.778E-6
-3.60971776E-03	0.825E-6
-3.60698400E-03	0.855E-6
-3.60290432E-03	0.795E-6
-3.58932640E-03	0.780E-6
-3.57867392E-03	0.830E-6
-3.57967776E-03	0.843E-6
-3.57623680E-03	0.808E-6
-3.55991072E-03	0.793E-6
-3.54703232E-03	0.818E-6
-3.54581248E-03	0.855E-6
-3.54661664E-03	0.855E-6
-3.53440512E-03	0.808E-6
-3.51709056E-03	0.815E-6
-3.51076960E-03	0.828E-6
-3.51164832E-03	0.818E-6
-3.50026272E-03	0.790E-6
-3.50000800E-03	0.850E-6
-3.48880256E-03	0.800E-6
-3.47017216E-03	0.793E-6
-3.46524256E-03	0.825E-6
-3.46893312E-03	0.828E-6
-3.46134464E-03	0.833E-6
-3.43986720E-03	0.820E-6
-3.44062720E-03	0.853E-6
-3.42496864E-03	0.850E-6
-3.42704128E-03	0.828E-6
-3.40978976E-03	0.850E-6
-3.40433088E-03	0.865E-6
-3.39401088E-03	0.838E-6
-3.39742912E-03	0.845E-6
-3.39232640E-03	0.828E-6
-3.37966176E-03	0.828E-6
-3.36218752E-03	0.808E-6
-3.35973024E-03	0.853E-6
-3.36158080E-03	0.843E-6
-3.35125600E-03	0.865E-6
-3.33667232E-03	0.813E-6
-3.32589504E-03	0.850E-6
-3.32875744E-03	0.865E-6
-3.32418144E-03	0.833E-6
-3.30849728E-03	0.825E-6
-3.29401440E-03	0.863E-6
-3.29347392E-03	0.853E-6
-3.29263904E-03	0.853E-6
-3.28005056E-03	0.828E-6
-3.26471072E-03	0.815E-6
-3.25704608E-03	0.845E-6
-3.26152640E-03	0.888E-6
-3.25373184E-03	0.865E-6
-3.23756000E-03	0.830E-6
-3.23592608E-03	0.808E-6
-3.22506592E-03	0.855E-6
-3.22460384E-03	0.855E-6
-3.20797504E-03	0.838E-6
-3.19526688E-03	0.865E-6
-3.19923360E-03	0.818E-6
-3.18818400E-03	0.863E-6
-3.18355968E-03	0.838E-6
-3.16748896E-03	0.883E-6
-3.17105184E-03	0.853E-6
-3.16332640E-03	0.840E-6
-3.15656096E-03	0.875E-6
